gene,L,x,b,B,g,w,P,Pz,Ps,T,I,E,mean_E,h,m,queue
YNL217W,327,8.41,61.00,512.93,0.2942,0.96,1.358660e-05,2.335814e-04,8.828664e-04,144419,73602,70817,216.6,3111944,4489586,0
YNL218W,588,1.19,95.69,114.22,0.6617,3.89,2.743819e-05,3.315877e-05,1.255970e-02,178254,36446,141808,241.2,2417289,3487410,0
YNL219C,556,2.55,2702.88,6900.85,1.1575,6.44,5.961611e-05,7.092074e-05,1.275888e-02,124726,16774,107952,194.2,31425976,45338099,0
YNL220W,434,31.93,87.02,2778.27,0.7587,3.29,4.814693e-05,8.868235e-04,8.240503e-04,89164,20770,68394,157.6,1252828,1807449,0
YNL221C,876,1.86,1010.73,1882.25,0.7072,6.20,2.943438e-05,5.172978e-05,8.636477e-03,244443,33974,210469,240.3,23801477,34338273,0
YNL222W,207,5.47,117.36,641.97,0.7322,1.52,3.517429e-05,1.519455e-04,3.513661e-03,71519,28430,43089,208.2,2312725,3336557,0
YNL223W,495,1.05,73.74,77.43,0.3075,1.52,1.225952e-05,2.916508e-05,6.380174e-03,205730,81569,124161,250.8,4169393,6015163,0
YNL224C,768,2.08,161.77,336.92,0.6151,4.72,2.699705e-05,5.785233e-05,7.083007e-03,212026,37041,174985,227.8,4153480,5992206,0
YNL225C,582,2.81,75.55,212.03,0.3363,1.96,1.440077e-05,7.795730e-05,2.803828e-03,205373,69441,135932,233.6,3636502,5246364,0
YNL227C,591,1.27,387.41,491.25,0.8530,5.04,3.753272e-05,3.522310e-05,1.617353e-02,160964,26643,134321,227.3,7154647,10321974,0
YNL229C,355,5.40,445.14,2403.69,0.8676,3.08,3.871671e-05,1.499952e-04,3.917810e-03,105379,25829,79550,224.1,7969402,11497417,0
YNL231C,352,9.15,689.70,6313.29,1.2307,4.33,5.978537e-05,2.542687e-04,3.568818e-03,89187,16726,72461,205.9,7996331,11536268,0
YNL232W,293,9.26,113.02,1046.15,0.5211,1.53,2.160242e-05,2.571266e-04,1.275198e-03,116973,46291,70682,241.2,3626333,5231693,0
YNL233W,893,0.91,NA,NA,1.2184,10.88,5.073468e-05,2.537288e-05,3.034991e-02,234172,19710,214462,240.2,NA,NA,0
YNL236W,975,0.86,NA,NA,1.1041,10.76,4.683935e-05,2.384210e-05,2.981870e-02,251170,21350,229820,235.7,NA,NA,0
YNL238W,815,1.65,896.53,1483.75,1.0331,8.42,4.634073e-05,4.597206e-05,1.529999e-02,203264,21579,181685,222.9,13409937,19346450,0
YNL239W,455,1.86,1281.42,2377.30,3.1535,14.35,1.809567e-04,5.153345e-05,5.329762e-02,84819,5526,79293,174.3,4908445,7081389,0
YNL240C,492,1.64,25.26,41.45,0.5011,2.47,1.793042e-05,4.557788e-05,5.971158e-03,193274,55771,137503,279.5,976614,1408956,0
YNL241C,506,1.31,1230.13,1616.28,5.9120,29.91,2.747144e-04,3.649765e-05,1.142454e-01,112533,3640,108893,215.2,3103799,4477836,1
YNL242W,1593,0.14,NA,NA,2.2104,35.21,9.179005e-05,3.821771e-06,3.645468e-01,394498,10894,383604,240.8,NA,NA,0
YNL243W,969,2.24,1884.01,4229.38,2.0571,19.93,8.246419e-05,6.235781e-05,2.007229e-02,253852,12126,241726,249.5,15835935,22846426,0
YNL244C,109,40.69,87.38,3555.05,1.7287,1.88,9.143304e-05,1.130163e-03,1.227960e-03,31545,10937,20608,189.1,662406,955650,0
YNL245C,180,1.23,NA,NA,1.4006,2.52,5.761146e-05,3.411828e-05,2.562973e-02,61117,17358,43759,243.1,NA,NA,0
YNL246W,265,4.76,82.74,393.61,0.7408,1.96,3.123756e-05,1.321432e-04,3.588018e-03,94861,32013,62848,237.2,1836000,2648788,0
YNL247W,768,4.94,9216.36,45484.63,2.2611,17.37,1.283943e-04,1.370890e-04,1.421561e-02,143040,7789,135251,176.1,49755280,71781696,0
YNL248C,416,9.18,1940.36,17813.57,1.6033,6.67,8.290605e-05,2.550152e-04,4.934492e-03,92509,12062,80447,193.4,16222645,23404330,0
YNL249C,543,2.13,24.72,52.62,0.0994,0.54,4.308384e-06,5.911907e-05,1.106138e-03,357379,232106,125273,230.7,3977451,5738248,0
YNL250W,1313,0.31,NA,NA,0.9209,12.09,4.202395e-05,8.490712e-06,7.512337e-02,311511,23796,287715,219.1,NA,NA,0
YNL251C,576,1.74,6513.01,11307.97,2.5070,14.44,1.097102e-04,4.822810e-05,3.452781e-02,140737,9115,131622,228.5,41149130,59365646,0
YNL252C,282,2.34,224.34,524.16,1.4326,4.04,5.857198e-05,6.490108e-05,1.369810e-02,86048,17073,68975,244.6,2654898,3830208,0
YNL253W,423,2.67,101.94,272.69,0.3752,1.59,1.614966e-05,7.430524e-05,3.298879e-03,160188,61921,98267,232.3,4375271,6312182,0
YNL254C,402,1.56,187.65,293.00,0.5092,2.05,1.916396e-05,4.337284e-05,6.706404e-03,159000,52181,106819,265.7,6787193,9791849,0
YNL255C,154,37.34,541.43,20215.68,1.6138,2.49,9.452662e-05,1.037145e-03,1.383366e-03,36871,10579,26292,170.7,3970248,5727857,0
YNL256W,825,3.72,353.54,1315.55,0.3823,3.15,1.725855e-05,1.033621e-04,2.534343e-03,240699,57942,182757,221.5,14199175,20485080,0
YNL257C,1230,0.97,NA,NA,0.4760,5.86,1.948617e-05,2.701116e-05,1.094978e-02,351792,51318,300474,244.3,NA,NA,0
YNL258C,755,3.30,339.48,1120.33,0.4209,3.18,1.836183e-05,9.167019e-05,3.040256e-03,227541,54461,173080,229.2,12815231,18488470,0
YNL259C,74,12.35,24.85,306.87,0.9401,0.70,4.131172e-05,3.429926e-04,1.828146e-03,41046,24206,16840,227.6,416982,601577,0
YNL260C,199,4.37,635.51,2774.72,0.6668,1.33,2.829795e-05,1.212814e-04,3.541466e-03,82228,35338,46890,235.6,15566548,22457781,0
YNL261W,480,3.37,158.33,533.43,0.2810,1.35,1.300274e-05,9.358426e-05,2.108892e-03,180654,76907,103747,216.1,8440431,12176968,0
YNL262W,2223,0.37,897.45,330.51,2.1168,47.06,9.474330e-05,1.023001e-05,1.405707e-01,507235,10555,496680,223.4,6565826,9472484,0
YNL263C,315,3.72,1236.50,4604.84,1.6178,5.10,7.879427e-05,1.034469e-04,1.156111e-02,77367,12691,64676,205.3,10877398,15692769,0
YNL264C,351,1.59,372.07,589.75,1.9121,6.71,9.737127e-05,4.402885e-05,3.356725e-02,79196,10270,68926,196.4,2648636,3821175,0
YNL265C,299,3.13,69.39,217.46,0.8101,2.42,3.586806e-05,8.705709e-05,6.253542e-03,95411,27880,67531,225.9,1340867,1934462,0
YNL267W,1067,1.35,223.68,301.64,0.7150,7.63,3.182185e-05,3.745826e-05,1.289437e-02,271179,31425,239754,224.7,4872288,7029225,0
YNL268W,612,4.13,410.12,1692.32,1.3784,8.44,6.995856e-05,1.146236e-04,9.263799e-03,134878,14294,120584,197.0,4063418,5862272,0
YNL271C,1954,0.41,1497.41,615.22,2.0405,39.87,8.575838e-05,1.141266e-05,1.140544e-01,476585,11661,464924,237.9,12102921,17460824,0
YNL272C,760,1.37,530.25,727.40,0.8575,6.52,3.732217e-05,3.810559e-05,1.486622e-02,201404,26794,174610,229.8,9847867,14207470,0
YNL273W,1239,0.39,1148.92,450.50,1.1308,14.01,5.093309e-05,1.089174e-05,7.097822e-02,294719,19634,275085,222.0,15635660,22557489,0
YNL274C,351,0.99,97.81,96.99,0.8753,3.07,3.921175e-05,2.754417e-05,2.160771e-02,103856,25503,78353,223.2,1729036,2494471,0
YNL275W,577,1.79,139.34,249.79,0.1835,1.06,7.638532e-06,4.979603e-05,2.328292e-03,269511,130915,138596,240.2,12644380,18241984,0
YNL277W,487,0.92,633.53,579.99,0.7057,3.44,2.818379e-05,2.543015e-05,1.682181e-02,157426,35481,121945,250.4,15581048,22478701,0
YNL278W,1061,0.23,750.02,171.70,2.6731,28.36,1.169554e-04,6.358993e-06,2.791607e-01,251047,8550,242497,228.6,4445090,6412909,0
YNL280C,439,4.09,532.05,2173.83,1.1305,4.96,5.526678e-05,1.134937e-04,7.391196e-03,107891,18094,89797,204.5,6672884,9626937,0
YNL281W,154,24.24,29.45,713.75,0.9674,1.49,4.212739e-05,6.732430e-04,9.497624e-04,59103,23738,35365,229.6,484541,699044,0
YNL282W,196,4.85,2.29,11.11,0.3153,0.62,1.156427e-05,1.346984e-04,1.303102e-03,139910,86473,53437,272.6,137378,198194,0
YNL283C,504,1.51,1534.18,2320.91,0.8253,4.16,3.290416e-05,4.202223e-05,1.188486e-02,156810,30391,126419,250.8,32318459,46625680,0
YNL284C,323,5.72,39.35,225.12,0.5702,1.84,2.559723e-05,1.589301e-04,2.444607e-03,111021,39067,71954,222.8,1065452,1537123,0
YNL286W,286,3.06,60.42,184.85,0.5194,1.49,1.993902e-05,8.498593e-05,3.561059e-03,124654,50153,74501,260.5,2100303,3030097,0
YNL287W,936,3.35,10324.20,34592.07,2.8729,26.89,1.505506e-04,9.307169e-05,2.455202e-02,185253,6642,178611,190.8,47533465,68576294,0
YNL288W,374,2.45,437.89,1074.46,0.9905,3.70,4.478617e-05,6.815851e-05,9.973466e-03,105042,22328,82714,221.2,6777165,9777382,0
YNL289W,280,4.19,252.44,1057.35,1.3329,3.73,4.678187e-05,1.163470e-04,6.103019e-03,101154,21376,79778,284.9,3740312,5396130,0
YNL290W,341,4.69,108.50,508.37,0.6971,2.38,2.770373e-05,1.301536e-04,3.230757e-03,121895,36096,85799,251.6,2714642,3916400,0
YNL291C,549,2.38,327.54,779.23,0.3365,1.85,1.522643e-05,6.608329e-05,3.497266e-03,187004,65675,121329,221.0,14910638,21511504,0
YNL292W,404,2.15,536.59,1152.47,1.6059,6.49,6.716398e-05,5.966021e-05,1.708732e-02,111484,14889,96595,239.1,5537707,7989223,0
YNL293W,634,2.23,40.09,89.44,0.3001,1.90,1.273212e-05,6.197342e-05,3.118299e-03,227987,78541,149446,235.7,2182457,3148620,0
YNL294C,534,4.11,27.04,111.02,0.0957,0.51,3.804173e-06,1.140523e-04,5.062657e-04,397163,262869,134294,251.5,4926664,7107674,0
YNL295W,525,1.31,340.65,445.10,0.5970,3.13,2.435748e-05,3.629518e-05,1.018605e-02,169733,41055,128678,245.1,9693918,13985367,0
YNL297C,1637,0.89,1247.64,1114.97,0.9354,15.31,3.968717e-05,2.482393e-05,2.426621e-02,411032,25197,385835,235.7,21790389,31436886,0
YNL298W,843,0.68,1437.25,976.58,1.3166,11.10,5.727401e-05,1.887450e-05,4.605794e-02,211243,17460,193783,229.9,17393979,25094207,0
YNL299W,643,2.13,242.27,517.05,0.5095,3.28,2.156989e-05,5.928274e-05,5.522580e-03,198249,46361,151888,236.2,7785369,11231913,0
YNL300W,103,2.37,6286.08,14897.45,8.1840,8.43,5.568069e-04,6.583091e-05,1.283799e-01,16935,1796,15139,147.0,7825292,11289510,2
YNL304W,418,1.38,37.88,52.10,0.5385,2.25,2.156795e-05,3.820980e-05,8.567544e-03,150736,46365,104371,249.7,1217330,1756237,0
YNL305C,298,3.64,34.35,124.89,0.4472,1.33,1.665842e-05,1.009814e-04,2.503887e-03,140026,60030,79996,268.4,1429423,2062221,0
YNL306W,218,9.64,43.26,417.09,0.6321,1.38,2.607315e-05,2.677975e-04,1.477778e-03,91205,38354,52851,242.4,1150148,1659313,0
YNL307C,376,4.13,4891.97,20208.32,1.8971,7.13,7.949624e-05,1.147478e-04,1.051537e-02,102308,12579,89729,238.6,42654256,61537084,0
YNL308C,592,4.15,1324.47,5502.20,2.0836,12.33,9.784451e-05,1.153962e-04,1.286967e-02,136284,10220,126064,212.9,9382771,13536477,0
YNL309W,421,0.70,704.95,490.23,1.5694,6.61,6.108576e-05,1.931705e-05,4.799782e-02,124533,16370,108163,256.9,7999156,11540343,0
YNL310C,175,1.53,202.52,310.65,2.8280,4.95,1.279873e-04,4.260855e-05,4.559239e-02,46481,7813,38668,221.0,1096807,1582358,0
YNL311C,764,1.64,NA,NA,0.2862,2.19,1.276419e-05,4.567944e-05,4.241258e-03,249657,78344,171313,224.2,NA,NA,0
YNL312W,274,4.94,551.30,2724.63,1.1581,3.17,5.344019e-05,1.372825e-04,5.908471e-03,78090,18713,59377,216.7,7150692,10316268,0
YNL313C,905,2.28,1618.07,3695.55,0.9593,8.68,4.326587e-05,6.344241e-05,1.035114e-02,223762,23113,200649,221.7,25922495,37398255,0
YNL314W,256,1.40,20.71,28.99,0.4460,1.14,1.690110e-05,3.888263e-05,6.597535e-03,126722,59168,67554,263.9,849452,1225501,0
YNL315C,319,4.31,73.65,317.12,0.6073,1.94,2.586995e-05,1.195988e-04,3.283153e-03,113535,38655,74880,234.7,1973425,2847050,0
YNL316C,335,1.86,271.68,504.60,0.5538,1.86,2.497469e-05,5.159292e-05,7.347378e-03,114331,40041,74290,221.8,7540133,10878112,0
YNL317W,466,1.02,298.72,304.38,1.1044,5.15,4.675203e-05,2.830428e-05,2.507094e-02,131469,21389,110080,236.2,4428800,6389408,0
YNL320W,285,1.90,119.31,226.19,0.7950,2.27,3.396396e-05,5.265994e-05,9.789495e-03,96150,29443,66707,234.1,2434943,3512881,0
YNL321W,909,0.34,NA,NA,2.2446,20.40,9.601988e-05,9.518923e-06,1.531072e-01,222911,10415,212496,233.8,NA,NA,0
YNL322C,314,3.15,381.73,1201.78,2.1270,6.68,8.034244e-05,8.745138e-05,1.394443e-02,95574,12447,83127,264.7,3293341,4751287,0
YNL323W,415,2.92,237.35,692.39,1.3738,5.70,5.890099e-05,8.103149e-05,1.103294e-02,113770,16978,96792,233.2,2793170,4029693,0
YNL325C,880,1.20,248.72,298.44,0.3453,3.04,1.610641e-05,3.332992e-05,7.334776e-03,250739,62087,188652,214.4,10703911,15442479,0
YNL326C,337,2.50,35.07,87.52,0.3266,1.10,1.327433e-05,6.932478e-05,2.906340e-03,158248,75333,82915,246.0,1831198,2641860,0
YNL327W,1042,6.06,458.07,2776.10,1.6711,17.41,7.656208e-05,1.683457e-04,6.902939e-03,240495,13061,227434,218.3,4147078,5982968,0
YNL329C,1031,1.10,27.23,29.92,0.2734,2.82,1.151141e-05,3.051437e-05,5.725936e-03,331737,86870,244867,237.5,1639773,2365693,0
YNL330C,434,5.67,137.23,778.16,0.4018,1.74,1.860752e-05,1.575112e-04,1.793078e-03,147463,53742,93721,215.9,5112016,7375080,0
YNR001C,480,5.56,306.39,1702.44,1.0355,4.97,5.759606e-05,1.543452e-04,5.663983e-03,103662,17362,86300,179.8,3687301,5319651,0
YNR003C,318,6.43,110.18,708.79,0.6763,2.15,2.919540e-05,1.786945e-04,2.479851e-03,107911,34252,73659,231.6,2615869,3773902,0
YNR006W,623,0.87,1058.18,918.86,2.1972,13.69,8.806918e-05,2.412053e-05,5.541909e-02,166786,11355,155431,249.5,8328382,12015315,0
YNR007C,311,1.50,49.12,73.69,0.8670,2.70,3.684847e-05,4.167432e-05,1.342064e-02,100314,27138,73176,235.3,923932,1332952,0
YNR008W,662,1.19,1208.31,1435.44,1.6765,11.10,7.394531e-05,3.299949e-05,3.401150e-02,163616,13524,150092,226.7,11326394,16340533,0
YNR009W,250,1.41,460.35,650.11,1.6834,4.21,6.692230e-05,3.922779e-05,2.589401e-02,77829,14943,62886,251.5,4768101,6878916,0
YNR010W,150,1.44,143.78,206.71,2.2926,3.44,9.481753e-05,3.993766e-05,3.603532e-02,46816,10547,36269,241.8,1051046,1516339,0
YNR011C,877,0.84,1488.53,1245.55,1.0753,9.43,4.459427e-05,2.324347e-05,2.912061e-02,233894,22424,211470,241.1,23136764,33379294,0
YNR012W,502,3.05,712.61,2172.16,0.5777,2.90,2.852730e-05,8.467090e-05,5.113859e-03,136714,35054,101660,202.5,17314886,24980100,0
YNR013C,895,1.14,7144.23,8175.78,2.1748,19.46,9.935195e-05,3.178859e-05,4.743812e-02,205976,10065,195911,218.9,49843036,71908300,0
YNR015W,385,2.58,126.64,326.16,0.6296,2.42,2.741101e-05,7.154213e-05,5.815478e-03,124911,36482,88429,229.7,3202289,4619927,0
YNR016C,2234,2.20,4860.77,10693.68,7.5431,168.51,4.688106e-04,6.111108e-05,1.164394e-01,361579,2133,359446,160.9,7186755,10368296,1
YNR017W,223,4.55,370.56,1685.05,1.8272,4.07,8.023831e-05,1.263122e-04,9.641815e-03,63246,12463,50783,227.7,3201160,4618297,0
YNR018W,225,4.02,157.32,631.69,2.5042,5.63,1.040674e-04,1.115354e-04,1.416199e-02,63752,9609,54143,240.6,1047845,1511721,0
YNR019W,643,0.59,1140.25,673.89,3.8901,25.01,1.916530e-04,1.641675e-05,1.771947e-01,135733,5218,130515,203.0,4123915,5949551,0
YNR020C,271,2.71,32.18,87.31,0.4551,1.23,1.766218e-05,7.536226e-05,3.557237e-03,126449,56618,69831,257.7,1262903,1821984,0
YNR021W,405,7.10,433.84,3079.47,1.7269,6.99,9.852400e-05,1.971711e-04,7.584398e-03,81136,10150,70986,175.3,3052201,4403395,0
YNR022C,140,4.66,28.19,131.29,1.3327,1.87,6.122322e-05,1.293739e-04,7.182768e-03,46810,16334,30476,217.7,319151,460437,0
YNR023W,567,1.72,192.52,331.49,0.6855,3.89,2.904694e-05,4.782930e-05,9.217830e-03,168235,34427,133808,236.0,4594096,6627879,0
YNR024W,187,5.79,42.83,247.79,0.5632,1.05,2.536796e-05,1.607093e-04,2.395890e-03,80935,39420,41515,222.0,1170251,1688315,0
YNR026C,472,1.56,766.16,1198.98,1.7174,8.11,7.733271e-05,4.347001e-05,2.700199e-02,117753,12931,104822,222.1,6867228,9907315,0
YNR027W,318,2.41,24.23,58.44,0.3125,0.99,1.244657e-05,6.701048e-05,2.819222e-03,160183,80343,79840,251.1,1349200,1946484,0
YNR028W,309,3.49,411.46,1435.63,1.0052,3.11,4.027784e-05,9.692040e-05,6.307732e-03,101945,24828,77117,249.6,7080826,10215473,0
YNR029C,430,3.59,823.77,2961.09,0.5784,2.49,2.710667e-05,9.984872e-05,4.120558e-03,128641,36891,91750,213.4,21064708,30389950,0
YNR030W,552,1.55,6783.67,10538.38,1.6074,8.87,8.054425e-05,4.315255e-05,2.833025e-02,122580,12416,110164,199.6,58378896,84222944,0
YNR031C,1580,0.84,NA,NA,0.6229,9.84,2.729651e-05,2.339791e-05,1.770730e-02,397210,36635,360575,228.2,NA,NA,0
YNR032C-A,74,6.93,NA,NA,1.2458,0.92,5.601303e-05,1.926263e-04,4.413629e-03,34311,17853,16458,222.4,NA,NA,0
YNR032W,369,3.63,33.83,122.83,0.2237,0.83,9.205881e-06,1.008415e-04,1.385633e-03,198290,108626,89664,243.0,2547557,3675348,0
YNR033W,788,1.66,NA,NA,0.7057,5.56,2.954901e-05,4.615024e-05,9.718322e-03,222045,33842,188203,238.8,NA,NA,0
YNR034W,322,0.88,196.48,172.12,2.0184,6.50,8.220717e-05,2.433411e-05,5.127629e-02,91223,12164,79059,245.5,1656628,2390009,0
YNR035C,343,9.72,128.78,1252.27,0.8505,2.92,4.277124e-05,2.701091e-04,2.403449e-03,91587,23380,68207,198.9,2087027,3010944,0
YNR036C,154,10.27,8.22,84.33,0.7330,1.13,2.493968e-05,2.851437e-04,1.327546e-03,85356,40097,45259,293.9,228335,329417,0
YNR037C,92,5.27,13.96,73.60,1.0705,0.98,3.819770e-05,1.464989e-04,3.957539e-03,51963,26180,25783,280.3,253240,365348,0
YNR038W,630,1.66,NA,NA,2.0072,12.65,9.190250e-05,4.607670e-05,3.027389e-02,148479,10881,137598,218.4,NA,NA,0
YNR039C,606,1.11,348.62,385.59,0.6781,4.11,2.722209e-05,3.072344e-05,1.344850e-02,187681,36735,150946,249.1,8876715,12806393,0
YNR040W,257,2.49,34.58,86.14,0.4134,1.06,1.590653e-05,6.920453e-05,3.488698e-03,129661,62867,66794,259.9,1506680,2173680,0
YNR041C,373,3.61,32.83,118.62,0.5189,1.94,2.133572e-05,1.003513e-04,3.227057e-03,137583,46870,90713,243.2,1066724,1538957,0
YNR043W,397,3.19,1159.40,3696.96,4.0991,16.27,2.026452e-04,8.857445e-05,3.472563e-02,85240,4935,80305,202.3,3965728,5721336,1
YNR044W,726,0.51,24253.94,12256.05,4.1793,30.34,1.689431e-04,1.403672e-05,1.826826e-01,185518,5919,179599,247.4,99510136,143562780,0
YNR045W,490,0.70,47.67,33.37,0.3495,1.71,1.394991e-05,1.944214e-05,1.089055e-02,194448,71685,122763,250.5,2368797,3417451,0
YNR046W,136,4.56,361.86,1650.75,2.4150,3.28,1.026667e-04,1.267172e-04,1.229748e-02,41731,9740,31991,235.2,2443088,3524631,0
YNR047W,894,0.28,11211.76,3145.01,3.5649,31.87,1.525009e-04,7.791937e-06,2.970635e-01,215538,6557,208981,233.8,50959711,73519322,0
YNR048W,394,1.75,84.31,147.29,0.3628,1.43,1.512836e-05,4.852840e-05,4.731711e-03,160584,66101,94483,239.8,3862907,5572996,0
YNR049C,211,3.74,24.39,91.31,0.4804,1.01,1.786403e-05,1.040052e-04,2.607034e-03,112726,55978,56748,268.9,946248,1365147,0
YNR050C,447,6.24,824.46,5142.55,1.5888,7.10,1.065331e-04,1.732633e-04,9.332546e-03,76053,9387,66666,149.1,5364267,7739001,0
YNR051C,516,3.23,328.02,1059.97,1.1352,5.86,5.256781e-05,8.976205e-05,8.888930e-03,130452,19023,111429,215.9,4325179,6239914,0
YNR052C,434,3.42,206.05,705.05,0.9619,4.17,3.525510e-05,9.504699e-05,5.629968e-03,146772,28365,118407,272.8,4051177,5844613,0
YNR053C,487,18.59,213.92,3976.63,0.4458,2.17,2.222990e-05,5.163633e-04,6.534382e-04,142638,44984,97654,200.5,6670295,9623201,0
YNR054C,317,2.27,797.87,1811.39,2.0333,6.45,9.081732e-05,6.306340e-05,2.185816e-02,81984,11011,70973,223.9,6089618,8785462,0
YNR055C,587,3.70,186.61,691.22,0.4456,2.62,2.119056e-05,1.028921e-04,3.125955e-03,170629,47191,123438,210.3,6103977,8806178,0
YNR058W,481,1.00,17.67,17.64,0.0312,0.15,1.415534e-06,2.772752e-05,7.748749e-04,812485,706447,106038,220.5,8654171,12485329,0
YNR059W,581,2.07,32.59,67.35,0.0707,0.41,2.945719e-06,5.740154e-05,7.789150e-04,478954,339476,139478,240.1,7669130,11064216,0
YNR061C,220,10.77,377.97,4072.38,0.6742,1.48,3.132038e-05,2.992898e-04,1.588391e-03,79287,31928,47359,215.3,8364727,12067750,0
YNR067C,1118,2.15,1113.78,2398.73,1.9975,22.33,8.956743e-05,5.982466e-05,2.272439e-02,260491,11165,249326,223.0,8619332,12435068,0
YNR074C,379,3.74,236.37,883.18,0.3245,1.23,1.421067e-05,1.037906e-04,2.078159e-03,156904,70370,86534,228.3,11529165,16633069,0
YOL001W,294,1.51,112.59,169.57,0.1917,0.56,8.103489e-06,4.183734e-05,2.939885e-03,192968,123404,69564,236.6,9630220,13893470,0
YOL002C,318,15.36,52.50,806.52,0.1861,0.59,8.415310e-06,4.267023e-04,2.993418e-04,189146,118831,70315,221.1,4324567,6239031,0
YOL003C,379,2.07,373.90,772.68,0.4719,1.79,1.911086e-05,5.740373e-05,5.053152e-03,145906,52326,93580,246.9,13561297,19564816,0
YOL004W,1537,0.75,11613.47,8699.11,4.4204,67.94,1.846067e-04,2.080704e-05,1.346665e-01,373451,5417,368034,239.4,43605353,62909227,1
YOL005C,121,3.65,148.68,542.35,4.5374,5.49,2.122984e-04,1.013267e-04,3.180132e-02,30571,4710,25861,213.7,485435,700335,1
YOL006C,770,2.91,1302.67,3791.10,1.0832,8.34,5.249683e-05,8.084022e-05,9.856617e-03,177921,19049,158872,206.3,17199965,24814304,0
YOL007C,342,1.73,1812.30,3129.64,2.6553,9.08,1.274827e-04,4.796923e-05,4.033767e-02,79078,7844,71234,208.3,9853799,14216028,0
YOL008W,208,1.14,166.22,189.39,2.1495,4.47,8.771325e-05,3.165009e-05,4.206420e-02,62373,11401,50972,245.1,1313561,1895067,0
YOL009C,272,1.39,216.13,299.43,0.5301,1.44,2.115491e-05,3.848493e-05,8.343397e-03,115430,47270,68160,250.6,7081439,10216356,0
YOL010W,368,7.81,108.92,850.70,0.3753,1.38,1.722713e-05,2.169596e-04,1.205192e-03,138222,58048,80174,217.9,4382380,6322438,0
YOL011W,687,1.44,155.99,225.32,0.4781,3.28,2.244419e-05,4.012321e-05,8.490446e-03,190906,44555,146351,213.0,4817440,6950097,0
YOL012C,135,3.95,325.87,1288.13,3.6594,4.94,1.686227e-04,1.098017e-04,2.330931e-02,35227,5930,29297,217.0,1339548,1932560,0
YOL013C,552,1.66,257.21,427.85,0.4841,2.67,1.893001e-05,4.620641e-05,6.218289e-03,193985,52826,141159,255.7,9418127,13587486,0
YOL014W,125,6.33,0.25,1.57,0.0695,0.09,3.090645e-06,1.757651e-04,2.668940e-04,351649,323557,28092,224.7,55742,80419,0
YOL016C,448,7.50,24.48,183.60,0.2928,1.31,1.366266e-05,2.083683e-04,9.952354e-04,169192,73192,96000,214.3,1241765,1791488,0
YOL017W,715,0.78,NA,NA,0.7299,5.22,3.071445e-05,2.153253e-05,2.165060e-02,202468,32558,169910,237.6,NA,NA,0
YOL018C,398,3.73,112.14,418.35,0.4675,1.86,1.948736e-05,1.036298e-04,2.854241e-03,146803,51315,95488,239.9,3988656,5754414,0
YOL019W,552,1.03,2321.36,2385.66,1.7696,9.77,7.856577e-05,2.854710e-05,4.177281e-02,137057,12728,124329,225.2,20480265,29546777,0
YOL020W,593,3.08,39.58,121.88,0.6127,3.63,2.767715e-05,8.553609e-05,4.911275e-03,167396,36131,131265,221.4,991255,1430079,0
YOL021C,1002,1.49,245.28,365.12,1.9219,19.26,8.840188e-05,4.135027e-05,3.244931e-02,229155,11312,217843,217.4,1923191,2774578,0
YOL022C,409,7.46,778.08,5805.17,0.5270,2.16,2.539292e-05,2.072473e-04,1.859714e-03,124265,39381,84884,207.5,21239090,30641530,0
YOL023W,677,0.51,186.66,96.05,0.6881,4.66,3.048868e-05,1.429372e-05,3.237544e-02,185601,32799,152802,225.7,4243543,6122139,0
YOL025W,661,0.46,387.02,177.70,0.8557,5.66,3.664866e-05,1.275393e-05,4.361505e-02,181624,27286,154338,233.5,7319801,10560241,0
YOL026C,114,4.10,41.06,168.36,1.3888,1.58,4.732016e-05,1.139118e-04,6.305214e-03,54591,21133,33458,293.5,601391,867624,0
YOL027C,574,2.05,1938.42,3974.25,2.5548,14.66,1.138157e-04,5.695151e-05,3.033326e-02,137629,8786,128843,224.5,11805144,17031222,0
YOL028C,246,2.13,83.99,179.01,0.8764,2.16,3.679406e-05,5.920096e-05,9.433465e-03,85772,27178,58594,238.2,1582289,2282761,0
YOL030W,485,2.88,16650.34,47910.32,3.3461,16.23,1.818936e-04,7.992886e-05,3.454110e-02,94718,5498,89220,184.0,63449906,91538864,0
YOL031C,422,2.64,472.44,1246.08,0.8660,3.65,3.803168e-05,7.326571e-05,7.878926e-03,122385,26294,96091,227.7,8610387,12422163,0
YOL032W,247,3.37,5.71,19.26,0.6179,1.53,2.335416e-05,9.362801e-05,3.786001e-03,108168,42819,65349,264.6,169580,244652,0
YOL033W,537,2.47,34.23,84.59,0.2296,1.23,9.410998e-06,6.865008e-05,2.080736e-03,237245,106259,130986,243.9,2521099,3637176,0
YOL034W,1094,0.63,NA,NA,0.5478,5.99,2.383317e-05,1.736219e-05,2.083530e-02,293405,41958,251447,229.8,NA,NA,0
YOL036W,762,1.38,444.54,612.84,0.9081,6.92,3.556891e-05,3.829433e-05,1.409803e-02,222650,28114,194536,255.3,8662975,12498031,0
YOL038W,255,16.19,38.53,623.81,0.7596,1.94,2.933432e-05,4.497602e-04,9.899593e-04,100125,34090,66035,259.0,910373,1313391,0
YOL039W,107,95.69,2044.72,195662.00,5.3177,5.69,5.430377e-04,2.658089e-03,3.100864e-03,12319,1841,10478,97.9,2609937,3765344,0
